"cc","year","iso","age","highLS"
"Benin",2000,204,"20--64",4.90000000000001
"Benin",2005,204,"20--64",6.2
"Benin",2010,204,"20--64",8.5
"Benin",2015,204,"20--64",10.2
"Bhutan",1970,64,"20--64",0.399999999999991
"Bhutan",1975,64,"20--64",0.799999999999997
"Bhutan",1980,64,"20--64",1.40000000000001
"Bhutan",1985,64,"20--64",2.09999999999999
"Bhutan",1990,64,"20--64",3
"Bhutan",1995,64,"20--64",4.3
"Bhutan",2000,64,"20--64",6
"Bhutan",2005,64,"20--64",9.30000000000001
"Bhutan",2010,64,"20--64",11.6
"Bhutan",2015,64,"20--64",14.1
"Bolivia (Plurinational State of)",1970,68,"20--64",13.3
"Bolivia (Plurinational State of)",1975,68,"20--64",15.6
"Bolivia (Plurinational State of)",1980,68,"20--64",18.6
"Bolivia (Plurinational State of)",1985,68,"20--64",21.4
"Bolivia (Plurinational State of)",1990,68,"20--64",24.4
"Bolivia (Plurinational State of)",1995,68,"20--64",27.9
"Bolivia (Plurinational State of)",2000,68,"20--64",32.2
"Bolivia (Plurinational State of)",2005,68,"20--64",37.2
"Bolivia (Plurinational State of)",2010,68,"20--64",42.3
"Bolivia (Plurinational State of)",2015,68,"20--64",48.1
"Bosnia and Herzegovina",1970,70,"20--64",20.7
"Bosnia and Herzegovina",1975,70,"20--64",27.1
"Bosnia and Herzegovina",1980,70,"20--64",33.2
"Bosnia and Herzegovina",1985,70,"20--64",39.3
"Bosnia and Herzegovina",1990,70,"20--64",45.2
"Bosnia and Herzegovina",1995,70,"20--64",50.9
"Bosnia and Herzegovina",2000,70,"20--64",56.9
"Bosnia and Herzegovina",2005,70,"20--64",63.1
"Bosnia and Herzegovina",2010,70,"20--64",68.2
"Bosnia and Herzegovina",2015,70,"20--64",73.1
"Botswana",1970,72,"20--64",3.5
"Botswana",1975,72,"20--64",5.3
"Botswana",1980,72,"20--64",8.10000000000001
"Botswana",1985,72,"20--64",11.6
"Botswana",1990,72,"20--64",15.9
"Botswana",1995,72,"20--64",20.6
"Botswana",2000,72,"20--64",26.4
"Botswana",2005,72,"20--64",33.1
"Botswana",2010,72,"20--64",38.3
"Botswana",2015,72,"20--64",44.2
"Brazil",1970,76,"20--64",10.1
"Brazil",1975,76,"20--64",13
"Brazil",1980,76,"20--64",16.5
"Brazil",1985,76,"20--64",20.4
"Brazil",1990,76,"20--64",24.3
"Brazil",1995,76,"20--64",28.1
"Brazil",2000,76,"20--64",32
"Brazil",2005,76,"20--64",36.3
"Brazil",2010,76,"20--64",40.8
"Brazil",2015,76,"20--64",45.1
"Brunei Darussalam",2015,96,"20--64",39.7
"Bulgaria",1970,100,"20--64",37.3
"Bulgaria",1975,100,"20--64",44
"Bulgaria",1980,100,"20--64",50.8
"Bulgaria",1985,100,"20--64",56.6
"Bulgaria",1990,100,"20--64",62.7
"Bulgaria",1995,100,"20--64",67.8
"Bulgaria",2000,100,"20--64",72.3
"Bulgaria",2005,100,"20--64",75.1
"Bulgaria",2010,100,"20--64",76.9
"Bulgaria",2015,100,"20--64",79.8
"Burkina Faso",1970,854,"20--64",0.299999999999997
"Burkina Faso",1975,854,"20--64",0.5
"Burkina Faso",1980,854,"20--64",0.700000000000003
"Burkina Faso",1985,854,"20--64",1.2
"Burkina Faso",1990,854,"20--64",1.8
"Burkina Faso",1995,854,"20--64",2.50000000000001
"Burkina Faso",2000,854,"20--64",3
"Burkina Faso",2005,854,"20--64",2.99999999999999
"Burkina Faso",2010,854,"20--64",4.80000000000001
"Burkina Faso",2015,854,"20--64",6.5
"Burundi",1970,108,"20--64",0.299999999999997
"Burundi",1975,108,"20--64",0.400000000000006
"Burundi",1980,108,"20--64",0.5
"Burundi",1985,108,"20--64",0.799999999999997
"Burundi",1990,108,"20--64",1
"Burundi",1995,108,"20--64",1.5
"Burundi",2000,108,"20--64",1.89999999999999
"Burundi",2005,108,"20--64",3.00000000000001
"Burundi",2010,108,"20--64",3.70000000000002
"Burundi",2015,108,"20--64",5.5
"Cambodia",1970,116,"20--64",1.50000000000001
"Cambodia",1975,116,"20--64",1.69999999999999
"Cambodia",1980,116,"20--64",2.10000000000001
"Cambodia",1985,116,"20--64",2.5
"Cambodia",1990,116,"20--64",2.99999999999999
"Cambodia",1995,116,"20--64",4.2
"Cambodia",2000,116,"20--64",5.5
"Cambodia",2005,116,"20--64",7.3
"Cambodia",2010,116,"20--64",8.7
"Cambodia",2015,116,"20--64",11.8
"Cameroon",1970,120,"20--64",1.40000000000001
"Cameroon",1975,120,"20--64",2.19999999999999
"Cameroon",1980,120,"20--64",3.2
"Cameroon",1985,120,"20--64",4.59999999999999
"Cameroon",1990,120,"20--64",6.40000000000001
"Cameroon",1995,120,"20--64",8.60000000000001
"Cameroon",2000,120,"20--64",11
"Cameroon",2005,120,"20--64",14.2
"Cameroon",2010,120,"20--64",17.6
"Cameroon",2015,120,"20--64",20.8
"Canada",1970,124,"20--64",53.1
"Canada",1975,124,"20--64",60.2
"Canada",1980,124,"20--64",66.4
"Canada",1985,124,"20--64",71.9
"Canada",1990,124,"20--64",76.5
"Canada",1995,124,"20--64",80
"Canada",2000,124,"20--64",82.8
"Canada",2005,124,"20--64",85
"Canada",2010,124,"20--64",86.7
"Canada",2015,124,"20--64",88.6
"Cape Verde",1970,132,"20--64",1.89999999999999
"Cape Verde",1975,132,"20--64",2.49999999999999
"Cape Verde",1980,132,"20--64",3.20000000000002
"Cape Verde",1985,132,"20--64",4
"Cape Verde",1990,132,"20--64",5
"Cape Verde",1995,132,"20--64",5.90000000000001
"Cape Verde",2000,132,"20--64",7.40000000000001
"Cape Verde",2005,132,"20--64",9.5
"Cape Verde",2010,132,"20--64",11.2
"Cape Verde",2015,132,"20--64",13
"Central African Republic",1970,140,"20--64",0.399999999999991
"Central African Republic",1975,140,"20--64",0.499999999999986
"Central African Republic",1980,140,"20--64",1
"Central African Republic",1985,140,"20--64",1.40000000000002
"Central African Republic",1990,140,"20--64",1.89999999999999
"Central African Republic",1995,140,"20--64",2
"Central African Republic",2000,140,"20--64",3.69999999999999
"Central African Republic",2005,140,"20--64",5.40000000000001
"Central African Republic",2010,140,"20--64",7.30000000000001
"Central African Republic",2015,140,"20--64",9.10000000000001
"Chad",1970,148,"20--64",0.299999999999997
"Chad",1975,148,"20--64",0.5
"Chad",1980,148,"20--64",0.700000000000017
"Chad",1985,148,"20--64",1.10000000000001
"Chad",1990,148,"20--64",1.40000000000001
"Chad",1995,148,"20--64",1.89999999999999
"Chad",2000,148,"20--64",2.50000000000001
"Chad",2005,148,"20--64",3.3
"Chad",2010,148,"20--64",4.7
"Chad",2015,148,"20--64",6.19999999999999
"Channel Islands",2015,830,"20--64",73.7
"Chile",1970,152,"20--64",22.9
"Chile",1975,152,"20--64",27.2
"Chile",1980,152,"20--64",31.9
"Chile",1985,152,"20--64",36.5
"Chile",1990,152,"20--64",40.8
"Chile",1995,152,"20--64",45.2
"Chile",2000,152,"20--64",49.4
"Chile",2005,152,"20--64",53.8
"Chile",2010,152,"20--64",58.3
"Chile",2015,152,"20--64",62.6
"China",1970,156,"20--64",5.90000000000001
"China",1975,156,"20--64",8.09999999999999
"China",1980,156,"20--64",10.2
"China",1985,156,"20--64",12.9
"China",1990,156,"20--64",15.8
"China",1995,156,"20--64",18.3
"China",2000,156,"20--64",20.9
"China",2005,156,"20--64",23.7
"China",2010,156,"20--64",27.6
"China",2015,156,"20--64",31.8
"Colombia",1970,170,"20--64",8.5
"Colombia",1975,170,"20--64",11.8
"Colombia",1980,170,"20--64",16.3
"Colombia",1985,170,"20--64",20.9
"Colombia",1990,170,"20--64",25.5
"Colombia",1995,170,"20--64",30
"Colombia",2000,170,"20--64",34.9
"Colombia",2005,170,"20--64",40.4
"Colombia",2010,170,"20--64",44.8
"Colombia",2015,170,"20--64",49.1
"Comoros",1970,174,"20--64",1.2
"Comoros",1975,174,"20--64",2
"Comoros",1980,174,"20--64",3.5
"Comoros",1985,174,"20--64",5.50000000000001
"Comoros",1990,174,"20--64",7.30000000000001
"Comoros",1995,174,"20--64",9.40000000000001
"Comoros",2000,174,"20--64",11.9
"Comoros",2005,174,"20--64",15.3
"Comoros",2010,174,"20--64",18.8
"Comoros",2015,174,"20--64",24.9
"Congo",1970,178,"20--64",2.89999999999999
"Congo",1975,178,"20--64",4.89999999999999
"Congo",1980,178,"20--64",8.10000000000001
"Congo",1985,178,"20--64",11.3
"Congo",1990,178,"20--64",13.5
"Congo",1995,178,"20--64",14.8
"Congo",2000,178,"20--64",15.7
"Congo",2005,178,"20--64",16
"Congo",2010,178,"20--64",16.2
"Congo",2015,178,"20--64",19.4
"Costa Rica",1970,188,"20--64",14.4
"Costa Rica",1975,188,"20--64",17.9
"Costa Rica",1980,188,"20--64",21.7
"Costa Rica",1985,188,"20--64",25.1
"Costa Rica",1990,188,"20--64",27.9
"Costa Rica",1995,188,"20--64",30.2
"Costa Rica",2000,188,"20--64",32.4
"Costa Rica",2005,188,"20--64",35.2
"Costa Rica",2010,188,"20--64",38.1
"Costa Rica",2015,188,"20--64",41.6
"Cote d'Ivoire",1970,384,"20--64",1
"Cote d'Ivoire",1975,384,"20--64",1.69999999999999
"Cote d'Ivoire",1980,384,"20--64",2.40000000000001
"Cote d'Ivoire",1985,384,"20--64",3.3
"Cote d'Ivoire",1990,384,"20--64",4.2
"Cote d'Ivoire",1995,384,"20--64",5.3
"Cote d'Ivoire",2000,384,"20--64",6.40000000000001
"Cote d'Ivoire",2005,384,"20--64",7.90000000000001
"Cote d'Ivoire",2010,384,"20--64",9.69999999999999
"Cote d'Ivoire",2015,384,"20--64",12.2
"Croatia",1970,191,"20--64",36.8
"Croatia",1975,191,"20--64",43.5
"Croatia",1980,191,"20--64",49.9
"Croatia",1985,191,"20--64",55.5
"Croatia",1990,191,"20--64",61.3
"Croatia",1995,191,"20--64",66.6
"Croatia",2000,191,"20--64",72.3
"Croatia",2005,191,"20--64",77.4
"Croatia",2010,191,"20--64",80.9
"Croatia",2015,191,"20--64",84.7
"Cuba",1970,192,"20--64",15.7
"Cuba",1975,192,"20--64",20.9
"Cuba",1980,192,"20--64",26.8
"Cuba",1985,192,"20--64",32
"Cuba",1990,192,"20--64",38
"Cuba",1995,192,"20--64",42.8
"Cuba",2000,192,"20--64",46.2
"Cuba",2005,192,"20--64",51
"Cuba",2010,192,"20--64",55.4
"Cuba",2015,192,"20--64",59.7
"Curaçao",1970,531,"20--64",15.7
"Curaçao",1975,531,"20--64",19.6
"Curaçao",1980,531,"20--64",23.3
"Curaçao",1985,531,"20--64",27
"Curaçao",1990,531,"20--64",30.3
"Curaçao",1995,531,"20--64",33.5
"Curaçao",2000,531,"20--64",36.6
"Curaçao",2005,531,"20--64",39.6
"Curaçao",2010,531,"20--64",42.9
"Curaçao",2015,531,"20--64",48.6
"Cyprus",1970,196,"20--64",23.9
"Cyprus",1975,196,"20--64",32
"Cyprus",1980,196,"20--64",40.7
"Cyprus",1985,196,"20--64",48.7
"Cyprus",1990,196,"20--64",56.2
"Cyprus",1995,196,"20--64",63.1
"Cyprus",2000,196,"20--64",68.9
"Cyprus",2005,196,"20--64",74.2
"Cyprus",2010,196,"20--64",78.5
"Cyprus",2015,196,"20--64",82.9
"Czech Republic",1970,203,"20--64",57.5
"Czech Republic",1975,203,"20--64",63.9
"Czech Republic",1980,203,"20--64",70
"Czech Republic",1985,203,"20--64",74
"Czech Republic",1990,203,"20--64",78.3
"Czech Republic",1995,203,"20--64",81.2
"Czech Republic",2000,203,"20--64",84
"Czech Republic",2005,203,"20--64",86.6
"Czech Republic",2010,203,"20--64",88
"Czech Republic",2015,203,"20--64",90.7
"Democratic People's Republic of Korea",1970,408,"20--64",59.1
"Democratic People's Republic of Korea",1975,408,"20--64",66.8
"Democratic People's Republic of Korea",1980,408,"20--64",76.2
"Democratic People's Republic of Korea",1985,408,"20--64",82.9
"Democratic People's Republic of Korea",1990,408,"20--64",88.7
"Democratic People's Republic of Korea",1995,408,"20--64",92.8
"Democratic People's Republic of Korea",2000,408,"20--64",95.7
"Democratic People's Republic of Korea",2005,408,"20--64",97.9
"Democratic People's Republic of Korea",2010,408,"20--64",99.5
"Democratic People's Republic of Korea",2015,408,"20--64",99.9
"Democratic Republic of the Congo",1970,180,"20--64",2.7
"Democratic Republic of the Congo",1975,180,"20--64",3.49999999999999
"Democratic Republic of the Congo",1980,180,"20--64",4.90000000000001
"Democratic Republic of the Congo",1985,180,"20--64",6.79999999999998
"Democratic Republic of the Congo",1990,180,"20--64",9.30000000000001
"Democratic Republic of the Congo",1995,180,"20--64",12
"Democratic Republic of the Congo",2000,180,"20--64",14.6
"Democratic Republic of the Congo",2005,180,"20--64",16.8
"Democratic Republic of the Congo",2010,180,"20--64",19.3
"Democratic Republic of the Congo",2015,180,"20--64",21.7
"Denmark",1970,208,"20--64",39.9
"Denmark",1975,208,"20--64",46.8
"Denmark",1980,208,"20--64",52.9
"Denmark",1985,208,"20--64",58.1
"Denmark",1990,208,"20--64",63.1
"Denmark",1995,208,"20--64",67.5
"Denmark",2000,208,"20--64",71
"Denmark",2005,208,"20--64",73.9
"Denmark",2010,208,"20--64",75.3
"Denmark",2015,208,"20--64",78.5
"Djibouti",2015,262,"20--64",14.6
"Dominican Republic",1970,214,"20--64",6.7
"Dominican Republic",1975,214,"20--64",8.8
"Dominican Republic",1980,214,"20--64",12.1
"Dominican Republic",1985,214,"20--64",16.2
"Dominican Republic",1990,214,"20--64",20.6
"Dominican Republic",1995,214,"20--64",24.5
"Dominican Republic",2000,214,"20--64",28.2
"Dominican Republic",2005,214,"20--64",32.4
"Dominican Republic",2010,214,"20--64",36.7
"Dominican Republic",2015,214,"20--64",41.4
"Ecuador",1970,218,"20--64",8.3
"Ecuador",1975,218,"20--64",11
"Ecuador",1980,218,"20--64",14.9
"Ecuador",1985,218,"20--64",19.5
"Ecuador",1990,218,"20--64",24.3
"Ecuador",1995,218,"20--64",28.8
"Ecuador",2000,218,"20--64",32.4
"Ecuador",2005,218,"20--64",36
"Ecuador",2010,218,"20--64",39.6
"Ecuador",2015,218,"20--64",43.5
"Egypt",1970,818,"20--64",8.2
"Egypt",1975,818,"20--64",12.1
"Egypt",1980,818,"20--64",16
"Egypt",1985,818,"20--64",20.7
"Egypt",1990,818,"20--64",26.3
"Egypt",1995,818,"20--64",32.6
"Egypt",2000,818,"20--64",39.9
"Egypt",2005,818,"20--64",47.7
"Egypt",2010,818,"20--64",54.4
"Egypt",2015,818,"20--64",60.6
"El Salvador",1970,222,"20--64",5.7
"El Salvador",1975,222,"20--64",7.40000000000001
"El Salvador",1980,222,"20--64",9.90000000000001
"El Salvador",1985,222,"20--64",12.4
"El Salvador",1990,222,"20--64",15.4
"El Salvador",1995,222,"20--64",18.5
"El Salvador",2000,222,"20--64",21.5
"El Salvador",2005,222,"20--64",24.2
"El Salvador",2010,222,"20--64",28.6
"El Salvador",2015,222,"20--64",33.4
"Equatorial Guinea",1970,226,"20--64",1.3
"Equatorial Guinea",1975,226,"20--64",1.90000000000001
"Equatorial Guinea",1980,226,"20--64",2.70000000000002
"Equatorial Guinea",1985,226,"20--64",4.69999999999999
"Equatorial Guinea",1990,226,"20--64",5.8
"Equatorial Guinea",1995,226,"20--64",6.8
"Equatorial Guinea",2000,226,"20--64",7.30000000000001
"Equatorial Guinea",2005,226,"20--64",10.2
"Equatorial Guinea",2010,226,"20--64",13.7
"Equatorial Guinea",2015,226,"20--64",17.2
"Eritrea",2015,232,"20--64",15.1
"Estonia",1970,233,"20--64",45.3
"Estonia",1975,233,"20--64",53.5
"Estonia",1980,233,"20--64",61.4
"Estonia",1985,233,"20--64",67.6
"Estonia",1990,233,"20--64",73.7
"Estonia",1995,233,"20--64",78.1
"Estonia",2000,233,"20--64",81.3
"Estonia",2005,233,"20--64",82.7
"Estonia",2010,233,"20--64",81.9
"Estonia",2015,233,"20--64",84.7
"Ethiopia",1970,231,"20--64",0.700000000000003
"Ethiopia",1975,231,"20--64",0.899999999999991
"Ethiopia",1980,231,"20--64",1.30000000000001
"Ethiopia",1985,231,"20--64",1.8
"Ethiopia",1990,231,"20--64",2.40000000000001
"Ethiopia",1995,231,"20--64",3.19999999999999
"Ethiopia",2000,231,"20--64",4.09999999999999
"Ethiopia",2005,231,"20--64",4.7
"Ethiopia",2010,231,"20--64",6.90000000000001
"Ethiopia",2015,231,"20--64",9.3
"Fiji",1970,242,"20--64",9.60000000000001
"Fiji",1975,242,"20--64",11.7
"Fiji",1980,242,"20--64",14.1
"Fiji",1985,242,"20--64",17.5
"Fiji",1990,242,"20--64",21
"Fiji",1995,242,"20--64",24.7
"Fiji",2000,242,"20--64",29.8
"Fiji",2005,242,"20--64",35.3
"Fiji",2010,242,"20--64",42.6
"Fiji",2015,242,"20--64",49.1
"Finland",1970,246,"20--64",33.1
"Finland",1975,246,"20--64",42.8
"Finland",1980,246,"20--64",51.8
"Finland",1985,246,"20--64",59.4
"Finland",1990,246,"20--64",66.6
"Finland",1995,246,"20--64",72.5
"Finland",2000,246,"20--64",76.6
"Finland",2005,246,"20--64",79.9
"Finland",2010,246,"20--64",82.3
"Finland",2015,246,"20--64",86.4
"France",1970,250,"20--64",30.7
"France",1975,250,"20--64",37.9
"France",1980,250,"20--64",44.8
"France",1985,250,"20--64",50.4
"France",1990,250,"20--64",57
"France",1995,250,"20--64",62.9
"France",2000,250,"20--64",68.1
"France",2005,250,"20--64",72.3
"France",2010,250,"20--64",75.7
"France",2015,250,"20--64",79.9
"French Guiana",1970,254,"20--64",19.7
"French Guiana",1975,254,"20--64",23.2
"French Guiana",1980,254,"20--64",27.8
"French Guiana",1985,254,"20--64",32
"French Guiana",1990,254,"20--64",35.8
"French Guiana",1995,254,"20--64",38.7
"French Guiana",2000,254,"20--64",40.8
"French Guiana",2005,254,"20--64",42.4
"French Guiana",2010,254,"20--64",43.2
"French Guiana",2015,254,"20--64",46.5
"French Polynesia",1970,258,"20--64",18.7
"French Polynesia",1975,258,"20--64",24.6
"French Polynesia",1980,258,"20--64",31.4
"French Polynesia",1985,258,"20--64",37.6
"French Polynesia",1990,258,"20--64",43.6
"French Polynesia",1995,258,"20--64",48.8
"French Polynesia",2000,258,"20--64",53.3
"French Polynesia",2005,258,"20--64",58
"French Polynesia",2010,258,"20--64",62.3
"French Polynesia",2015,258,"20--64",66.5
"Gabon",1970,266,"20--64",2.59999999999999
"Gabon",1975,266,"20--64",4.39999999999999
"Gabon",1980,266,"20--64",6.49999999999999
"Gabon",1985,266,"20--64",8.50000000000001
"Gabon",1990,266,"20--64",10.2
"Gabon",1995,266,"20--64",11.8
"Gabon",2000,266,"20--64",13.7
"Gabon",2005,266,"20--64",15.5
"Gabon",2010,266,"20--64",16.4
"Gabon",2015,266,"20--64",21.7
"Gambia",1970,270,"20--64",1.39999999999999
"Gambia",1975,270,"20--64",1.80000000000001
"Gambia",1980,270,"20--64",2.2
"Gambia",1985,270,"20--64",3.19999999999999
"Gambia",1990,270,"20--64",4.50000000000001
"Gambia",1995,270,"20--64",6.09999999999999
"Gambia",2000,270,"20--64",7.80000000000001
"Gambia",2005,270,"20--64",10.2
"Gambia",2010,270,"20--64",13.8
"Gambia",2015,270,"20--64",18.3
"Georgia",1970,268,"20--64",52.3
"Georgia",1975,268,"20--64",61.5
"Georgia",1980,268,"20--64",70.1
"Georgia",1985,268,"20--64",76.9
"Georgia",1990,268,"20--64",82.9
"Georgia",1995,268,"20--64",88
"Georgia",2000,268,"20--64",91.2
"Georgia",2005,268,"20--64",93.2
"Georgia",2010,268,"20--64",93.8
"Georgia",2015,268,"20--64",94
"Germany",1970,276,"20--64",56.8
"Germany",1975,276,"20--64",62.4
"Germany",1980,276,"20--64",67.8
"Germany",1985,276,"20--64",72
"Germany",1990,276,"20--64",76.4
"Germany",1995,276,"20--64",79.9
"Germany",2000,276,"20--64",82.3
"Germany",2005,276,"20--64",84.3
"Germany",2010,276,"20--64",85.4
"Germany",2015,276,"20--64",86
"Ghana",1970,288,"20--64",5.40000000000001
"Ghana",1975,288,"20--64",7.40000000000001
"Ghana",1980,288,"20--64",9.2
"Ghana",1985,288,"20--64",10.9
"Ghana",1990,288,"20--64",12.2
"Ghana",1995,288,"20--64",13.5
"Ghana",2000,288,"20--64",15.2
"Ghana",2005,288,"20--64",17.5
"Ghana",2010,288,"20--64",20.1
"Ghana",2015,288,"20--64",23.4
"Greece",1970,300,"20--64",17.9
"Greece",1975,300,"20--64",22.7
"Greece",1980,300,"20--64",28.7
"Greece",1985,300,"20--64",35.4
"Greece",1990,300,"20--64",42.3
"Greece",1995,300,"20--64",50.1
"Greece",2000,300,"20--64",57
"Greece",2005,300,"20--64",63.1
"Greece",2010,300,"20--64",68.1
"Greece",2015,300,"20--64",73
"Grenada",2015,308,"20--64",56.4
